"수입자국가코드","국가한글명","표준약식국가코드"
"299",중동 기타국가,
"170",시킴,
"199",아시아 기타국가,
"374",기타,JE
"399",유럽 기타국가,
"499",북미 기타국가,
"599",중남미 기타국가,
"604",아스센션,
"640",말라가시,
"699",아프리카 기타국가,
"710",캐롤라인아일랜드,
"502",네덜란드령 안틸레스,AN
"514",아조레스,
"611",카나리 군도,IC
"658",로데시아,
"665",웨스턴사하라,EH
"683",트리스탄 다 쿠냐,
"715",마리아나 군도,
"771",트러스트테리토리,
"799",대양주 기타국가,
"888",기타,
"999",기타,
ZZZ,기타,
"001",코코스군도,
"002",기타,
"003",기타,
"004",기타,
"005",기타,
"006",기타,
"007",기타,
"008",기타,
"009",기타,
"010",기타,
"011",기타,
"013",프랑스령 생마르탱,MF
"014",프랑스령 생바르텔레미,
"671",스페인북아프리카속령,
"721",팔미라,
"722",로스속령,
"723",웨이크아일랜드,
"730",팔라우,PW
"732",파푸아뉴기니,PG
"740",솔로몬제도,SB
"741",남조지아.남샌드위치군도,GS
"742",아쉬모아 카르티어 아일랜드,
"743",크리스마스섬,CX
"744",코코스 군도,CC
"745",노포크 아일랜드,NF
"755",통가,TO
"760",사모아,WS
"761",미국령 사모아,AS
"762",투발루,TV
"763",쿡제도,CK
"764",존스톤 아일랜드,
"765",키리바시,KI
"766",마샬군도,MH
"768",니우에,NU
"769",피트케안군도,PN
"770",토켈라우,TK
"772",바누아투,VU
"774",월리스푸투나제도,WF
"781",페로군도,FO
"782",동티모르,TL
"100",대한민국,KR
"104",북한,KP
"145",라오스,LA
"110",아프가니스탄,AF
"137",영국령 인도양지역,IO
"115",방글라데시,BD
"116",부탄,BT
"125",괌,GU
"117",미얀마,MM
"120",대만,TW
"118",브루나이,BN
"136",인도네시아,ID
"140",일본,JP
"121",중국,CN
"130",홍콩,HK
"135",인도,IN
"151",말레이시아,MY
"152",몰디브,MV
"153",북마리아나 군도,MP
"154",몽골,MN
"155",네팔,NP
"160",파키스탄,PK
"165",필리핀,PH
"171",싱가포르,SG
"180",태국,TH
"150",마카오,MO
"175",스리랑카,LK
"176",베트남,VN
"210",바레인,BH
"215",사이프러스,CY
"220",이란,IR
"221",이라크,IQ
"223",이스라엘,IL
"230",요르단,JO
"235",쿠웨이트,KW
"245",오만,OM
"248",팔레스타인,PS
"255",사우디아라비아,SA
"275",튀르키예(구 터키),TR
"310",안도라,AD
"181",캄보디아,KH
"240",레바논,LB
"250",카타르,QA
"259",시리아,SY
"280",아랍에미리트 연합,AE
"306",아르메니아,AM
"307",아제르바이잔,AZ
