,대상자번호,업종코드1,대상자명,대상자코드
71,2618100850,D2951,EL ARABY COMPANY FOR ENGINEERING INDUSTRIES SAE (TOSHIBA EL ARABY / EL ARABY ENGINEERING INDUSTRIES COMPANY),618
90,6000054604,G5012,나폴레옹무역상사,100
149,2180101941,G5143,RUNG SIAM AIR AND SERVICE CO LTD,180
168,6000054141,D1799,(주)부선교역,100
184,2360101245,G5269,COMET GROUP P L C(COMET),360
190,3100002555,D3319,(주)다이아덴트,100
193,3100025096,G519,(주)에스더블유씨,100
200,3100102003,D2933,(주)미라클브레이카,100
203,3100026828,D1740,미광다이텍(주),100
204,3100109266,D155,(주)금강비앤에프,100
208,3100112420,D343,(주)하이브론,100
253,6000054604,G5012,나폴레옹무역상사,100
267,3100102262,D3219,(주)소현이십일,100
268,3100102774,D343,엠티케이(주),100
318,2352100455,C1021,SAIPEM PORTUGAL COMERCIO MARITIMO SOCIEDADE UNIPESSOAL LDA,352
406,3100107474,D1791,신원섬유(주)(이구휘),100
407,3100114588,D2914,(주)제오테크,100
412,3100103507,D2433,대양물산(김유성),100
414,6000056629,,신화와미래 주식회사,100
468,3100002589,D3697,(주)대지금속,100
470,3100023139,G5191,태영무역,100
472,3100021993,R9221,태우상사(주),100
476,3100102003,D2933,(주)미라클브레이카,100
503,3100115109,D2931,(주)컴팩아시아,100
508,3100117095,D1910,주식회사 다우레텍,100
520,6000053632,D17,(주)신화플러스,100
557,6000053130,G51,H AND H CO LTD (HUMAN AND HEALTH CO LTD),154
562,6000036665,G519,KOZLINE PTY LTD,701
610,2136102563,D2529,PT HANKUK COLOR INDUSTRI,136
613,6000057631,G5160,ACO CEARENSE COMERCIAL LTDA,511
683,2121113494,D32,SUZHOU NIPPON LEIZ. CO LTD ,121
752,2121112110,D369,BEIJING SHIYUANDA ELEC TECH CO LTD,121
757,3100021280,D1511,(주)모든,100
759,3100024255,G519,동영아이웨어,100
764,3100025032,D179,(주)해인니트,100
766,3100025169,D2440,정한통상(주),100
768,3100106901,G5173,마이스터인터내셔날(주),100
769,3100114910,G5171,(주)텍스굿,100
771,3100112564,D2423,(주)비젼사이언스,100
773,3100112793,D2522,(주)성일,100
777,3100108527,G51,업카이트(주),100
781,3100102719,D2894,(주)후크화이버,100
782,3100101511,G5189,베토(주),100
799,6000025621,G5191,서울인터내셔널컴퍼니,100
813,6000060138,,BELSUL IND E COM. DE MATERIAS PRIMA,511
862,6000053632,D17,(주)신화플러스,100
900,6000026600,D343,BORISOV PLANT AVTOGIDROUSILITEL REPUBLIC UNITARY INDUSTRIAL ENTERPRISE,316
928,6000060129,D2913,대흥공업(주),100
955,6000060119,,JURESA,511
956,6000060117,,TUBERFIL,511
995,3100111923,D2415,(주)세림에프앤비,100
997,3100108850,D322,모바일어플라이언스(주),100
998,3100111011,D343,에이앤디테크놀러지(주),100
999,3100103422,D29,(주)디엠케이,100
1025,6000061151,D2129,(주)용호산업,100
1039,6000060170,,LLC POLARIS_INN5047069247,361
1051,6000045116,G5020,MANDO AMERICA CORPORATION,450
1103,6000060636,,한국광달에너지 주식회사,100
1154,2450112356,G525,RADIOSHACK CORPORATION(RADIOSHACK/RADIO SHACK),450
1194,3100107071,D2894,굿와이어(주),100
1203,3100112554,,(주)금양시스템,100
1205,3100111700,,(주)엔비텍써키트,100
1209,3100112609,,강림교역(주),100
1211,3100113252,,성광텍스타일,100
1218,3100113350,,다이아미크론,100
1229,3100112943,,영농조합법인중부버섯배양소,100
1233,3100114103,D369,(주)케이티엘,100
1234,3100114378,,해리임펙스코퍼레이션,100
1237,3100114384,D17,(주)대도무역,100
1239,3100114135,,우리상회,100
1240,3100114136,,(주)프로브,100
1241,3100112804,D331,(주)엠아이에스,100
1246,3100114032,,(주)프리모엔터프라이즈,100
1251,3100111869,,(주)새턴오앤씨,100
1254,3100112163,,시스텍전자(주),100
1264,3100111982,,주노콜렉션,100
1281,3100113407,,성림Textile,100
1287,3100113455,D29,(주)지에프지,100
1291,3100114435,,(주)모아테크,100
1300,3100112175,,코아스틸,100
1302,3100112217,,금웅수산(주),100
1305,3100111985,,메디라인코리아,100
1309,3100111767,,해동테크,100
1312,3100113813,,에펠산업,100
1320,3100113467,D179,성심텍스타일,100
1324,3100114670,,(주)애드바이오텍,100
1335,3100114599,,한신인터내셔널,100
1336,3100112449,,한일글로브,100
1341,3100112230,,브릭스통상,100
1348,3100112044,D2811,(주)디제이에프,100
1350,3100112047,D154,(주)성환F&B,100
1353,3100113822,,주식회사 전영,100
1358,3100113868,,유티씨,100
1360,3100113041,,(주)영창금속,100
1366,3100112844,,삼애,100
1371,3100114070,,(주)우리지앤에스,100
1372,3100114071,,연성텍스타일,100
1373,3100114954,,오토솔루션,100
1391,3100112331,D179,(주)대륭,100
1399,3100113053,D1921,(주)팩크래프트,100
1404,3100112856,D369,(주)아이티엑스시큐리티,100
1409,3100114079,G518,(주)케이엠이,100
1411,3100114966,D17,써니직물,100
1414,3100114107,D2612,민트상사,100
1425,3100114883,,FINE SPINDLE,100
1427,3100111847,G527,앤시시,100
1433,3100111673,D181,다비모드(주),100
1441,3100112617,,(주)엔드테크,100
1452,3100112894,,세황전자,100
1461,3100114002,,(주)플로우맥스,100
1462,3100114003,,대한무역,100
1466,3100114049,,(주)유니벡,100
1475,3100111677,,우진테크,100
1484,3100111743,,(주)비젼뷰게이트,100
1485,3100111744,G5171,(주)에스앤에프유나이티드,100
1488,3100112624,,에스비위너스무역(주),100
1490,3100113525,D2933,경원특장(주),100
1491,3100113529,D179,(주)영진텍스모어,100
1500,3100113197,D3151,엔타임텍,100
1502,3100114356,D369,(주)케이엘텍,100
1505,3100114397,,(주)비엠코리아,100
1506,3100114400,,(주)대산티에스티,100
1512,3100114222,,에이치제이앤제이 무역상사,100
1515,3100114330,,(주)씨티전자,100
1519,3100112137,D3219,해피통상(주),100
1529,3100112007,,(주)아트플러스코리아,100
1531,3100111774,,진영섬유,100
1537,3100113832,,주식회사 에이티대육,100
1544,3100113473,,가나안무역,100
1553,3100114453,,(주)세양,100
1557,3100114499,D3219,(주)쿼드아이,100
1559,3100114278,,기성섬유,100
1560,3100114284,,한테크(주),100
1563,3100114605,D3152,(주)네오럭스,100
1571,3100112239,,(주)동보아이앤씨,100
1576,3100112248,,소연산업,100
1581,3100112292,D17,영동섬유(주),100
1582,3100112056,G5181,명진기계주식회사,100
1584,3100112064,D2933,창신인터내셔날(주),100
1585,3100113836,,(주)오스코나,100
1597,3100114973,,금강,100
1599,3100114730,G519,내일엔지니어링주식회사,100
1601,3100114732,,(주)뉴신흥,100
1605,3100114612,,일정텍스타일,100
1606,3100114614,,동성포장실업,100
1616,3100112524,,mtm max,100
1625,3100112301,,대덕섬유,100
1661,3100115750,,(주)엔시아이,100
1669,3100112497,,(주)고려상사,100
1672,3100112593,,(주)송경패브릭,100
1673,3100113242,,(주)그랜드크루리미티드,100
1675,3100113245,G51,주식회사원글로벌,100
