,대상자번호,업종코드,대상자명,대상자코드
1000405,3100010621,25934,한국야금(주),100
1100439,3100106901,46417,마이스터인터내셔날(주),100
1100466,3100109909,29271,세메스 주식회사,100
2256174,6000054604,45120,(주)나폴레옹모비스,100
2263613,6000053632,13229,(주)신화플러스,100
2264877,6000049611,59111,유나이티드픽처스주식회사,100
2274998,6000054141,13999,"인수시 주의, 섬유의류팀앞 문의 (주)부선교역",100
2284522,6000068234,25911,(주)동양E&C,100
2285332,6000060636,46739,한국광달에너지 주식회사,100
2292401,6000074139,22111,(주)명진,100
2293056,6000069179,22111,광명타이어,100
2333835,3100020285,13221,선일텍스(주),100
2333854,3100009616,24131,(주)고려정관,100
2333893,3100100648,13999,(주)제은텍스,100
2333905,3100102099,13221,(주)배명상사,100
2333924,3100010648,26299,(주)대진산업,100
2333941,3100101994,13229,(주)씨제이벨벳,100
2333948,3100102003,29241,(주)미라클이엔지,100
2334015,3100006566,46451,(주)아시아프린팅,100
2334028,3100027145,14199,지지무역주식회사,100
2334048,3100024998,13229,(주)두리페브릭,100
2334128,3100024928,47411,에스앤제이인터내셔널(주),100
2334177,3100026819,14199,을진실업(주),100
2334182,3100027258,10799,해진물산(주),100
2334188,3100027097,46800,(주)팀코리아,100
2334234,3100026681,22211,영진하이테크(주),100
2334244,3100026754,46411,신화텍스타일(주),100
2334322,3100108736,26120,(주)씨에이치테크,100
2334326,3100108510,33110,한보주얼리,100
2334345,3100107927,46799,(주)에이시에이서울,100
2334382,3100107305,46201,(주)오션그린,100
2334408,3100106456,25911,다산소재(주),100
2334443,3100108238,13221,매일자카텍(주),100
2334451,3100108248,26299,점보손(주),100
2334488,3100106256,27310,정선,100
2334489,3100106257,22240,(주)테이팩스,100
2334497,3100107137,29210,(주)우신테크,100
2334502,3100107416,46800,즐거운일터(주),100
2334520,3100107812,26410,(주)더파이버스,100
2334526,3100106295,25991,새한엔텍(주),100
2334530,3100106083,46799,(주)미르테크,100
2334531,3100106084,31310,(주)현대알코맥스,100
2334534,3100106358,28111,헤벨,100
2334548,3100105847,26310,(주)모뉴엘,100
2334556,3100105858,13999,(주)제이알코프레이숀,100
2334600,3100105311,13221,스카이씨에이치오(주),100
2334605,3100107026,26120,(주)코원시스템,100
2334613,3100113167,47411,(주)엘아이지텍스,100
2334629,3100112943,1300,영농조합법인중부버섯배양소,100
2334652,3100114315,13221,에이스텍스코리아(주),100
2334654,3100114319,13229,에이치케이무역,100
2334665,3100113041,26299,(주)YCM,100
2334675,3100113885,46539,(주)신도링크,100
2334678,3100113674,13401,영신물산(주),100
2334684,3100112715,17210,유니온텍(주),100
2334692,3100111847,13221,앤시시,100
2334712,3100114176,33999,(주)네스,100
2334713,3100114177,29119,디티엠주식회사,100
2334721,3100114219,46311,(주)세라무역,100
2334730,3100114922,46739,주식회사피엔제이케미칼,100
2334732,3100114924,46799,보라무역,100
2334745,3100114693,26120,(주)일렉트로디바이스,100
2334777,3100114467,14199,(주)한림텍스,100
2334819,3100112258,15190,(주)나할,100
2334849,3100114652,46311,(주)부산씨푸드,100
2334853,3100114938,13221,(주)사해티이엑스시오,100
2334855,3100114940,46105,(주)파나링크,100
2334872,3100112314,46800,유림,100
2334877,3100112981,29271,(주)엔알티,100
2334881,3100000485,28201,세방전지(주),100
2334883,3100000666,13109,(주)효성,100
2334885,3100000678,29210,(주)썬스타,100
2334904,3100006074,29241,(주)수산중공업,100
2334908,3100003876,26299,광전자(주),100
2334929,3100024442,27211,(주)케이코하이텍,100
2334988,3100020913,46411,삼미컴머스주식회사,100
2335017,3100021051,29171,케이피에치이(주),100
2335081,3100022662,11201,튤립인터내셔널 주식회사,100
2335109,3100011993,28302,(주)세신이엠씨,100
2335140,3100010498,14199,명성텍스(주),100
2335147,3100010621,25931,한국야금(주),100
2335150,3100010659,33999,(주)화승인더스트리,100
2335165,3100009589,13229,(주) 제이리인터내셔날,100
2335172,3100013552,46800,인성교역(주),100
2335173,3100012141,26410,에어텍정보통신(주),100
2335185,3100012709,28302,대한전선(주),100
2335188,3100012719,10219,화인한천(주),100
2335247,3100007049,25111,대명건영(주),100
2335252,3100009322,13221,(주)남성텍스타일,100
2335259,3100006874,13229,(주)준페브릭,100
2335276,3100008452,28121,한성엘컴텍(주),100
2335295,3100101724,26299,(주)알에프하이텍,100
2335313,3100100236,46521,(주)테라비젼,100
2335315,3100100239,26310,(주)잉크나라,100
2335326,3100101054,24111,주식회사 포스코,100
2335334,3100101063,46799,우이인터내셔날(주),100
2335366,3100100893,46411,(주)카우스상사,100
2335371,3100101192,26511,(주)이지시스콤,100
2335412,3100002390,46105,로빈코리아(주),100
2335424,3100009905,29141,(주)피치밸브,100
2335457,3100026538,46539,델타상역,100
2335478,3100026252,26310,티오엠테크놀로지(주),100
2335507,3100026101,30310,(주)금창,100
2335555,3100024857,33999,세종기업(주),100
2335564,3100026891,13229,(주)협성티알디,100
2335611,3100024651,33110,(주)샤인주얼리,100
2335612,3100025032,13221,(주)해인니트,100
2335623,3100026334,45211,(주)대창프라임,100
2335709,3100107596,26120,보은전자방송통신(주),100
2335712,3100103890,46510,(주)소보비젼,100
2335735,3100108014,13229,동진케이글로벌(주),100
2335741,3100108022,46510,모본 주식회사,100
2335765,3100107313,13229,LORD TEXTILE,100
2335787,3100107886,26511,(주)마이크로웹,100
2335790,3100107625,22250,평화산업,100
