,상품분류코드,상품분류명,상품분류그룹코드,상품분류그룹명
0,4400,제44류 목재와 그 제품 및 목탄,5,"목재와 펄프, 지물류"
1,4401,"땔나무, 칩상 또는 삭편상의 목재, 톱밥·목재의 웨이스트 및 스크랩",5,"목재와 펄프, 지물류"
2,44011,"땔나무(통나무, 목편, 작은 가지, 다발이나 이와 유사한 모양으로 한정한다)
",5,"목재와 펄프, 지물류"
3,440110,"1. 땔나무(통나무, 목편, 작은가지, 다발상 또는 이와 유사한 형상의 것에 한한다)",5,"목재와 펄프, 지물류"
4,4401100000,"1. 땔나무(통나무, 목편, 작은가지, 다발상 또는 이와 유사한 형상의 것에 한한다)",5,"목재와 펄프, 지물류"
5,440111,농수산식품,5,"목재와 펄프, 지물류"
6,4401110000,침엽수류,5,"목재와 펄프, 지물류"
7,440112,농수산식품,5,"목재와 펄프, 지물류"
8,4401120000,활엽수류,5,"목재와 펄프, 지물류"
9,44012,2. 칩상 또는 삭편상의 목재,5,"목재와 펄프, 지물류"
10,440121,가. 침엽수류,5,"목재와 펄프, 지물류"
11,4401210000,가. 침엽수류,5,"목재와 펄프, 지물류"
12,440122,나. 활엽수류,5,"목재와 펄프, 지물류"
13,4401220000,나. 활엽수류,5,"목재와 펄프, 지물류"
14,4401221000,펄프 제조용의 것,5,"목재와 펄프, 지물류"
15,4401229000,기타,5,"목재와 펄프, 지물류"
16,44013,"톱밥, 목재의 웨이스트(waste)와 스크랩(scrap)[통나무ㆍ브리켓(briquette)ㆍ펠릿(pellet)이나 이와 유사한 모양으로 응결된 것으로 한정한다]
",5,"목재와 펄프, 지물류"
17,440130,3. 톱밥 및 목재의 웨이스트와 스크랩(통나무·브리케트·펠리트 또는 이와 유사한 형상으로 응결된 것인지의 여부를 불문한다),5,"목재와 펄프, 지물류"
18,4401300000,3. 톱밥 및 목재의 웨이스트와 스크랩(통나무·브리케트·펠리트 또는 이와 유사한 형상으로 응결된 것인지의 여부를 불문한다),5,"목재와 펄프, 지물류"
19,4401301000,목재 펠리트,5,"목재와 펄프, 지물류"
20,4401309000,기타,5,"목재와 펄프, 지물류"
21,440131,농수산식품,5,"목재와 펄프, 지물류"
22,4401310000,목재펠리트(땔나무),5,"목재와 펄프, 지물류"
23,440132,농수산식품,5,"목재와 펄프, 지물류"
24,4401320000,목재 브리켓(briquette),5,"목재와 펄프, 지물류"
25,440139,농수산식품,5,"목재와 펄프, 지물류"
26,4401390000,기타(땔나무),5,"목재와 펄프, 지물류"
27,44014,"톱밥, 목재의 웨이스트(waste)와 스크랩(scrap)(응결되지 않은 것으로 한정한다)
",5,"목재와 펄프, 지물류"
28,4401400000,"톱밥, 목재의 웨이스트(waste)와 스크랩(scrap)(응결되지 않은 것으로 한정한다)",5,"목재와 펄프, 지물류"
29,440141,농수산식품,5,"목재와 펄프, 지물류"
30,4401410000,톱밥,5,"목재와 펄프, 지물류"
31,440149,농수산식품,5,"목재와 펄프, 지물류"
32,4401490000,기타,5,"목재와 펄프, 지물류"
33,4402,목탄,5,"목재와 펄프, 지물류"
34,440200,목탄,5,"목재와 펄프, 지물류"
35,4402001000,성형목탄,5,"목재와 펄프, 지물류"
36,4402009000,기타,5,"목재와 펄프, 지물류"
37,440210,대나무제의 것,5,"목재와 펄프, 지물류"
38,44021010,성형 목탄,5,"목재와 펄프, 지물류"
39,4402101000,성형목탄,5,"목재와 펄프, 지물류"
40,4402101010,착화제가 포함된 것,5,"목재와 펄프, 지물류"
41,4402101090,기타,5,"목재와 펄프, 지물류"
42,4402109000,기타,5,"목재와 펄프, 지물류"
43,440220,쉘(shell)이나 너트(nut)로 만든 것,5,"목재와 펄프, 지물류"
44,44022010,성형 목탄,5,"목재와 펄프, 지물류"
45,4402201000,"성형 목탄
",5,"목재와 펄프, 지물류"
46,4402201010,착화제가 포함된 것,5,"목재와 펄프, 지물류"
47,4402201090,기타,5,"목재와 펄프, 지물류"
48,4402209000,"기타
",5,"목재와 펄프, 지물류"
49,440290,기타,5,"목재와 펄프, 지물류"
50,44029010,"성형 목탄
",5,"목재와 펄프, 지물류"
51,4402901000,성형목탄,5,"목재와 펄프, 지물류"
52,440290101,구이용,5,"목재와 펄프, 지물류"
53,4402901010,구이용,5,"목재와 펄프, 지물류"
54,4402901011,착화제가 포함된 것,5,"목재와 펄프, 지물류"
55,4402901019,기타,5,"목재와 펄프, 지물류"
56,4402901090,기타,5,"목재와 펄프, 지물류"
