,대상자번호,업종코드,대상자코드
700303,2552100040,45120,552
1100449,2450100996,46800,450
1700719,6000483271,46533,280
2146506,2525100167,20499,525
2148048,2135101135,33999,135
2149603,2410100501,45211,410
2151771,2165100763,10309,165
2160956,2503100253,21210,503
2161278,2135101194,46799,135
2161725,2450105427,46105,450
2162708,2360101579,47511,360
2162871,2130102467,33999,130
2163040,2701100981,45110,701
2164612,2450109315,46510,450
2216317,2140102471,46201,140
2217753,2410101313,45211,410
2226317,2328100049,46800,328
2226358,2355100297,47111,355
2226400,2530100084,33999,530
2226527,2450105126,33999,450
2226686,2355101141,46539,355
2228193,2511100917,46105,511
2228309,2140101450,46105,140
2228373,2121103205,46105,121
2228416,2511100688,22111,511
2228426,2255100503,24121,255
2228516,2525100284,46105,525
2230048,2550100786,33999,550
2230054,2625100004,49100,625
2230075,2450104331,46800,450
2230202,2557100268,45211,557
2231201,2220100221,33999,220
2232063,2511100171,33999,511
2232072,2275100703,46105,275
2232461,2255101038,35120,255
2233721,2450104886,46800,450
2234241,2550101024,13109,550
2234385,2140104219,46510,140
2234766,2651100568,95310,651
2236115,2180101599,10799,180
2237543,2136100094,33999,136
2237639,2450106677,46800,450
2237786,2355101144,46510,355
2237939,2550102055,33999,550
2237982,2275101511,13401,275
2238156,2360102735,13221,360
2239629,2450114468,46411,450
2241275,2136100952,33999,136
2241326,2180100273,46105,180
2241334,2121101388,33999,121
2241339,2140101264,46105,140
2243022,2450105566,46105,450
2243075,2135100978,33999,135
2243172,2450105638,46800,450
2243234,2511102580,46800,511
2243315,2325102232,13213,325
2244517,2450101280,46800,450
2245189,2450115654,47121,450
2245279,2450113664,46411,450
2245729,2450115800,46321,450
2246815,2450106057,46800,450
2246822,2355100378,33999,355
2246843,2360102576,46800,360
2246929,2135101033,24121,135
2247296,2140102231,47190,140
2247379,2171101948,46105,171
2247476,2325103084,14199,325
2248636,2450105736,46800,450
2248653,2580100131,95310,580
2248698,2136101436,33999,136
2249101,2355100629,29269,355
2250798,2135101715,52991,135
2250996,2117100021,5200,117
2251108,2450114903,28909,450
2254186,2450115306,46711,450
2254733,2325103033,20499,325
2254906,2130104807,33999,130
2255240,2136100561,33999,136
2255749,2519100033,46800,519
2255763,2511103419,47320,511
2255796,2165101340,46539,165
2255842,2135102719,31111,135
2255941,2121106679,33999,121
2256160,2171101983,26299,171
2256257,2511103882,13213,511
2256413,2280100979,46539,280
2257010,2360102717,30310,360
2257124,2560100450,13109,560
2257448,2121108633,24111,121
2257459,2356100046,21101,356
2257609,2140105106,23121,140
2257616,2220100952,25941,220
2257808,2220100998,46800,220
2258142,2136102491,46510,136
2260177,2630100068,33999,630
2261024,2552100016,47190,552
2261124,2450110834,46411,450
2261247,2355101326,46510,355
2261248,2355101341,46539,355
2261258,2511104014,52911,511
2261291,2518100174,46539,518
2261692,2450115573,46451,450
2261811,2121107941,28201,121
2261926,2136102009,17110,136
2262009,2527100153,46105,527
2262369,2121108634,24111,121
2262379,2450106058,46411,450
2262612,2701102354,46311,701
2262852,2366100292,68111,366
2263746,2332101868,26310,332
2263784,2638100045,46105,638
2263793,2275101890,29119,275
2263834,2450115813,13999,450
2263875,2517101014,46521,517
2264067,2410102207,26310,410
2264195,2140105322,46800,140
2264354,2560100632,47851,560
2264388,2360101245,47851,360
2264681,2255101130,46611,255
2264714,2100000516,33999,100
2265037,2140104835,33999,140
2265135,2450117719,46105,450
2265148,2618100850,28511,618
2265448,2360102910,33999,360
2265609,2120101763,46311,120
2265734,2255101409,20499,255
2266305,2250100092,41210,250
2266480,2450117382,46800,450
2266589,2450110466,46800,450
2266624,2321101868,46800,321
2266678,2355101381,46539,355
2267005,2280100596,46105,280
2267065,2651100789,45110,651
2267381,2450119408,47121,450
2267664,2120101008,46800,120
2268071,2121101842,46105,121
2268494,2542100126,24111,542
2268510,2517100998,47111,517
2268727,2176101838,46510,176
2268741,2517100859,46311,517
2268990,2121109379,30121,121
2269002,2450114645,33999,450
2269769,2327100950,50111,327
2269802,2517100907,46800,517
2270037,2140103492,46739,140
2270490,2140105531,46311,140
2270555,2121111171,22211,121
2270570,2511103812,46105,511
2270671,2355101324,47721,355
2270672,2361100044,50111,361
2270843,2517100790,46739,517
2271329,2180101763,46510,180
2271373,2511101414,33999,511
2271471,2703100069,46621,703
2271572,2121106542,22111,121
2271575,2325103520,42311,325
2271608,2511102767,20499,511
2271782,2321101364,46800,321
2271834,2511102857,13213,511
2271838,2325103544,33999,325
2271847,2120101918,29241,120
2272039,2450111031,46311,450
2272555,2275101563,46105,275
2272700,2450117566,30310,450
2272979,2355100138,46739,355
2273016,2511103763,14199,511
2273068,2450117987,46311,450
2273361,6000060138,46739,511
2273563,2140105332,46800,140
2273629,2275102019,46800,275
2273711,2332101877,47320,332
2273797,2121110248,26299,121
2273947,2356100033,45110,356
2274372,2450111644,46510,450
2274442,2255101353,46800,255
2275194,2349101206,47320,349
2275258,2511102212,46105,511
2275261,2525100422,45211,525
2275391,2517100717,46521,517
2275573,2135102386,10800,135
2275648,2325103183,20433,325
2275786,2325103200,71310,325
2276351,2180101118,24121,180
2276411,2351100320,22221,351
2276586,2450108590,46411,450
2276946,2355101652,95211,355
2277233,2332101520,17210,332
2277545,2130104943,46721,130
2277582,2140104345,46510,140
