업종코드,업종한글명,업종영문명,"국내업체업종
세그먼트코드","국외업체업종
세그먼트코드","SRR
업종코드","SRR
업종명",계층구분
0000,해당사항없음,,,,,,
00000,구분없음,,기타,비제조업,,,4
01,농업,Agriculture,경공업,경공업,A,"Agriculture, Forestry and Fishing",1
011,작물 재배업,Growing of crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0111,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01110,곡물 및 기타 식량작물 재배업,Growing of cereal crops and other crops for food,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0112,"채소, 화훼작물 및 종묘 재배업","Growing of vegetable crops, horticultural and nursery products",경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01121,채소작물 재배업,Growing of vegetable crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01122,화훼작물 재배업,Growing of horticultural products,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01123,종자 및 묘목 생산업,Growing of seed crops and nursery products,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0113,"과실, 음료용 및 향신용 작물 재배업","Growing of fruit, beverage and spice crops",경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01131,과실작물 재배업,Growing of fruit,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01132,음료용 및 향신용 작물 재배업,Growing of beverage and spice crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0114,기타 작물 재배업,Growing of other crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01140,기타 작물 재배업,Growing of other crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0115,시설작물 재배업,Growing of crops under cover ,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01151,"채소, 화훼 및 과실작물 시설 재배업","Growing of vegetable, fruit crops and horticultural products under cover",경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01159,기타 시설작물 재배업,Growing of other crops under cover,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
012,축산업,Animal production,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0121,소 사육업,Raising of cattle,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01211,젖소 사육업,Raising of dairy cattle,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01212,육우 사육업,Raising of beef cattle,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0122,양돈업,Raising of pigs,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01220,양돈업,Raising of pigs,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0123,가금류 및 조류 사육업,Raising of poultry and other birds,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01231,양계업,Raising of chickens,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01239,기타 가금류 및 조류 사육업,Raising of other poultry and birds,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0129,기타 축산업,Raising of other animals,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01291,말 및 양 사육업,"Raising of horses, sheep and goats",경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01299,그 외 기타 축산업,Raising of other animals n.e.c.,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
013,작물재배 및 축산 복합농업,Growing of crops combined with raising of animals : mixed farming,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0130,작물재배 및 축산 복합농업,Growing of crops combined with raising of animals : mixed farming,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01300,작물재배 및 축산 복합농업,Growing of crops combined with rasinging of animals : mixed farming,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
014,작물재배 및 축산 관련 서비스업,Services incidental to growing of crops and raising of animals,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0141,작물재배 관련 서비스업,Services incidental to growing of crops,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01411,작물재배 지원 서비스업,Support activities for crop production,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
01412,"농산물 건조, 선별 및 기타 수확 후 서비스업","Drying, sorting, grading of agricultural products and other post-harvest crop activities",경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0142,축산 관련 서비스업,Support activities for animal production,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01420,축산 관련 서비스업,Support activities for animal production,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
015,수렵 및 관련 서비스업,"Hunting, trapping and related service activities",경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0150,수렵 및 관련 서비스업,"Hunting, trapping and related service activities",경공업,경공업,A,"Agriculture, Forestry and Fishing",3
01500,수렵 및 관련 서비스업,"Hunting, trapping and related service activities",경공업,경공업,A,"Agriculture, Forestry and Fishing",4
02,임업,Forestry,경공업,경공업,A,"Agriculture, Forestry and Fishing",1
020,임업,Forestry,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0201,영림업,Silviculture activities,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
02011,임업용 종묘 생산업,Operation of forest tree nurseries,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
02012,육림업,Afforestation,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0202,벌목업,Logging,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
02020,벌목업,Logging,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0203,임산물 채취업,Gathering of non-wood forest products,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
02030,임산물 채취업,Gathering of non-wood forest products,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
0204,임업 관련 서비스업,Support services to forestry,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
02040,임업 관련 서비스업,Support services to forestry,경공업,경공업,A,"Agriculture, Forestry and Fishing",4
03,어업,Fishing and aquaculture,경공업,경공업,A,"Agriculture, Forestry and Fishing",1
031,어로 어업,Fishing,경공업,경공업,A,"Agriculture, Forestry and Fishing",2
0311,해수면 어업,Marine fishing,경공업,경공업,A,"Agriculture, Forestry and Fishing",3
