"중소단체
계약번호",변경회차,단체계약명,지원구분,보험계약자,등록건수,대상건수,제외건수,신청일,확정일,보험계약기간,진행상태,기업규모,"일괄가입
방식여부",부서,담당자,대표지원기관,"지원
진행상태"
1125080004,0,2025년 8월 파주시청 단체보험,단기수출보험(단체보험) 일반,파주시청,8,8,0,2025.08.07,2025.08.07,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,경기북부지사,최슬기,파주시청,지원완료
1125080003,0,2025년 8월 김포시청 단체보험,단기수출보험(단체보험) 일반,김포시청,10,10,0,2025.08.07,2025.08.07,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,경기북부지사,최슬기,김포시청,지원완료
1125080001,0,[특약추가]2024년 충남도청 단체보험(8차),단기수출보험(단체보험) 일반,충청남도청,1,1,0,2025.08.01,2025.08.01,2025.08.01 ~ 2025.10.07,확정완료,중소중견기업,N,대전세종충남지사,장정란,충남도청,지원완료
1125070027,0,[계약추가] 2025년 제주특별자치도 단체보험 (4차),단기수출보험(단체보험) 일반,제주특별자치도청,3,3,0,2025.07.31,2025.07.31,2025.08.01 ~ 2026.01.31,확정완료,중소중견기업,N,제주지사,채수한,제주특별자치도청,지원완료
1125070026,0,2025년 안양시 단체보험(8월 신규 및 갱신),단기수출보험(단체보험) 일반,안양산업진흥원,9,9,0,2025.07.30,2025.07.30,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,경기남부지사,신주영,안양시청,지원완료
1125070025,0,2025년 8월 서울시청 단체보험 신규,단기수출보험(단체보험) 일반,서울시청,11,11,0,2025.07.29,2025.07.29,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,중앙지사,김동훈,서울특별시청,지원완료
1125070024,0,2025년 8월 서울시청 단체보험 갱신,단기수출보험(단체보험) 일반,서울시청,149,142,7,2025.07.29,2025.07.29,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,중앙지사,김동훈,서울특별시청,지원완료
1125070023,0,2025 성남시 단체보험 (8월),단기수출보험(단체보험) 일반,성남시청,15,15,0,2025.07.29,2025.07.29,2025.08.07 ~ 2026.08.06,확정완료,중소중견기업,N,경기남부지사,길연경,성남시청,지원완료
1125070022,0,2025년 인천광역시 단체보험(7차)_8월1일,단기수출보험(단체보험) 일반,인천광역시청,24,24,0,2025.07.28,2025.07.28,2025.08.01 ~ 2026.07.31,확정완료,중소중견기업,N,인천지사,정가연,인천광역시청,지원완료
1125070021,0,2025년 경기도 단체보험(경기 안심 수출보험)_8월 ,단기수출보험(단체보험) 일반,경기도청,2,2,0,2025.07.22,2025.07.22,2025.08.01 ~ 2026.05.06,확정완료,중소중견기업,N,경기남부지사,강경민,경기도청,지원완료
